,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,description_missing,location_unknown,language_missing,description_length,description_word_count,description_mention_count,description_hashtag_count,description_digit_count,description_exclamation_count,screen_name_length,screen_name_digit_count,screen_name_underscore_count,true_label,screen_name,twitter_id
36639,1,0,480,18,0,0,96,0,0.027,3593,0,1,0,52,8,0,0,0,0,8,0,1,bot,zul_mark,204204239
18749,1,0,9627,23,126,0,2056,0,1.162,1769,0,0,0,139,25,0,0,0,1,9,0,0,human,TheToKuma,3970040302
25745,0,0,8204,32,72,0,1259,0,0.783,1607,0,1,0,22,4,0,0,0,0,10,1,0,human,PikaPixie1,713439734949941248
36883,1,0,2086,4,0,0,2874,0,0.966,2975,1,1,1,0,0,0,0,0,0,10,0,1,bot,LuCkii_dlb,619966533
18699,1,0,1295,99,439,1,684,0,0.173,3964,1,0,1,0,0,0,0,0,0,13,0,0,human,digitallmusic,81658042
6908,1,0,38960,1319,1425,0,35818,0,28.793,1244,0,0,0,147,13,0,8,1,0,8,1,0,human,MichD9NP,844888318429089793
15640,1,0,175,6,0,0,26,0,0.009,3052,0,1,0,79,11,0,0,2,0,7,2,0,bot,nonas15,550612530
3699,0,0,743,10,0,0,1063,0,0.625,1700,1,1,1,0,0,0,0,0,0,11,0,2,bot,it_dat_boii,4581778893
1757,1,0,53081,4153,148,1,34986,0,26.525,1319,0,0,0,32,6,0,0,0,0,12,0,0,human,BullishBearz,817911806261940224
17626,1,0,12,0,0,0,96,0,0.083,1154,0,1,0,152,28,0,0,0,0,15,1,0,bot,nveaqtjdrbnmtn1,877750799765569536
22640,1,0,1,0,1,0,1,0,0.001,1508,0,1,0,12,1,1,0,0,0,7,0,0,human,baekwus,749404470421786625
31446,1,0,1213,56,337,1,430,0,0.273,1574,0,0,0,63,9,0,0,0,0,10,2,0,human,karleeta13,725368661465288704
20728,0,0,5494,335,1058,1,4913,0,1.65,2978,0,0,0,91,17,0,0,3,0,8,0,0,human,LeeGodby,616707919
6589,0,0,575,214,2669,1,392,0,0.135,2898,0,1,0,108,16,0,0,0,0,8,0,0,human,HolmanJf,818198190
14836,0,0,400,4990868,128,0,1434,1,0.53,2708,0,0,0,111,15,5,0,0,0,15,0,0,human,BSchweinsteiger,1283561876
8676,0,0,6552,1065,1362,1,8247,0,2.071,3983,0,0,0,38,8,0,0,0,0,8,0,0,human,danderoz,76607138
15866,1,0,1240,44,246,0,162,0,0.049,3305,1,0,1,0,0,0,0,0,0,11,0,0,human,Jumptherock,346928230
1018,0,0,15608,307,74,1,30045,0,7.202,4172,0,0,0,38,10,0,0,0,0,10,0,0,human,nashkalina,24910515
9649,1,0,1,59,34,0,6880,0,3.981,1728,1,1,1,0,0,0,0,0,0,15,2,0,bot,chibuezenwali92,4278258021
33102,0,0,15852,11023,835,1,11956,1,2.858,4184,0,0,0,160,11,2,5,1,0,12,0,1,human,shelby_young,23037867
